'전참시' 유이, 물티슈 클렌징→매니저 장트러블 스릴러까지 '넘사벽 털털美'	스포티비뉴스
'나 혼자 산다' 유이, 뱃살·거식증 악플에 "울었다"…이시언, 금연송 도전 [...	텐아시아
‘나 혼자 산다’ 유이 소확행 하루+이시언 고독한 요양 ‘뜨거운 화제성 입증...	MBC연예
유이, 밀착 요가복으로 빛낸 명품 바디라인 [화보]	엑스포츠뉴스
'나혼산' 유이, 소파 눕방→배달 음식..리얼 일상 공개	스타뉴스
유이 “맵부심 있다”…‘나혼자산다’ 회원들 놀라	스포츠동아
“건강미란 이런 것”...유이, 하의실종 파격 화보 공개 [EN스타]	서울신문
‘나 혼자 산다’ 유이, 폴 댄스와 함께 한 홀로 라이프	한국일보
'전참시' 유이매니저 '친남매 케미'→'홍현희♥' 제이쓴의 찐사랑[★밤TView]	스타뉴스
유이, 완벽하게 되찾은 건강미..인형 같은 제주 소녀 [화보]	OSEN
배우 유이가 세미 누드 화보를 공개했다(사진)	허프포스트코리아
'나 혼자 산다' 유이, 귀차니즘 가득 자취러 면모 공개	베리타스알파
유이, 눈 뗄 수 없는 핫바디…카리스마 건강미인	매일경제
'전참시' 유이 매니저, 기습 쾌변 호소에 '폭소+아찔'.. 유이 폭풍 눈물	스타데일리뉴스
가을의 시작 유이와 함께... 매혹적인 비주얼 화보 공개	청년일보
유이, 맵부심이 일궈낸 찬스 “여러분 저 성덕이에요” [SNS★컷]	뉴스엔
유이, 제24회 부천국제판타스틱영화제 메가토크 참석 "스크린 데뷔 영광"	엑스포츠뉴스
유이, ‘나 혼자’ #눕방 #먹방 #노래방 #폴댄스 한다...연예인 고충까지	bnt뉴스
유이, 과감한 세미 누드…아름다운 건강美 [화보]	TV리포트
유이, 앙상한 팔뚝에 갸녀린 목선...차안서 포착된 '현실' 몸매와 털털한 성격...	일간스포츠
'매운맛 러버' 유이, '전참시'서 매니저와 '형제 케미' 발산	노컷뉴스
유이 세미누드 화보, ‘파격’적인 상반신 노출	MK스포츠
‘전지적 참견 시점’ ‘배려왕 유이’ 매니저 때문에 눈물 흘린 사연!	MBC연예
‘전참시’ 유이, 매니저 몸부림에 “XXX 힘줘!”	스포츠경향
'다만악에서구하소서 파이널컷' 10월 21일 개봉 확정..6분 14초 추가	OSEN
[공식] 유이, 굿네이버스 주거지원 캠페인 재능기부 참여 "관심이 시작이라고...	스포츠조선
유이, 운동하는 모습이 이렇게 예쁠 수가..그저 감탄만	헤럴드POP
[포토] 유이, 동그란 눈망울로	매일경제
'SF8' 최시원X유이의 '증강콩깍지' 반응 폭발	광주매일신문
'전참시' 유이, 매니저 몸부림에 "XXX 힘줘!" 외친 일촉즉발 상황 '궁금증↑'	스포츠조선
'전참시' 유이, 물티슈 클렌징→매니저 장트러블 스릴러까지 '넘사벽 털털美'	SBS funE
[포토] 유이, 동그란 눈망울로	매일경제
유이, 굿네이버스 국내주거지원 캠페인 재능기부 참여	마이데일리
'SF8' 최시원X유이의 '증강콩깍지' 반응 폭발	광주매일신문
유이 '아름다운 미모'[엑's HD포토]	엑스포츠뉴스
'전참시' 제이쓴, 홍현희 일일 매니저 변신…'배려왕' 유이 등장(종합)	뉴스1
유이, 부천판타스틱 영화제 GV 참석.."스크린 데뷔 영광"	스포츠조선
유이, 피트니스 콘텐츠 '유이의 라스트핏' 구독자수 10만명 돌파	디지틀조선일보
유이, 시크+우아..영화 속 한 장면 같은 몽환적 분위기[화보]	스포츠조선
유이 '호수같은 눈망울'[엑's HD포토]	엑스포츠뉴스
'전지적 참견 시점' 유이, 물티슈 클렌징→매니저 장트러블까지 '털털美 폭발...	MBC연예
'전참시' 제이쓴, 홍현희 일일 매니저 변신…'배려왕' 유이 등장(종합)	뉴스1
